product_name,brand_name,rating,review,sentiment,issue_category,urgency,reason
Nokia Lumia 920 32GB Unlocked GSM Windows 8 Smartphone w/ Carl-Zeiss Optics Camera - White,Unknown,5,"The best Nokia product.... Processor is fast, antenna is great and the camera too is super... Worth for the money...",Positive,Performance,Low,Customer praised processor speed and overall value for money.
"Motorola Moto X (2nd generation) Unlocked Cellphone, 16GB, White/Bamboo",Motorola,5,"Great smartphone. Quality build, nice features. So far so good",Positive,Product Quality,Low,Customer praised quality build and features.
"Blackberry Gemini 8520 White Unlocked Cell Phone with 2 MP Camera, Bluetooth, Wi-Fi--International Version with No Warranty (White)",BlackBerry,5,excellent product,Positive,Others,Low,Customer praised the product.
"Blackberry Curve 8520 Unlocked Quad-Band GSM Phone with 2MP Camera, QWERTY Keyboard, Wi-Fi and Bluetooth - US Warranty - Opal Pink",BlackBerry,3,I have some trouble with a independent seller and the order was canceled but after the reorder through amazon direct handling everything was ok....,Neutral,Seller Experience,Low,"Customer had a neutral experience with a seller, but issue was resolved after reordering through Amazon."
Huawei U8833/Y300 Android 4.1 Dual Core 1.0GHz 4.0 inch WVGA,Unknown,5,Great phone and the service was awesome! Its best option for this price.,Positive,Others,Low,Customer praised overall experience and value for money.
BLU Studio C Super Camera -Unlocked Smartphone - US GSM- Pink,BLU,2,"Phone will not stay charged and when you to plug in to recharge it takes forever, what is up with a phone with a battery that runs out every 3 hours?",Negative,Battery,High,Customer experienced battery drain and slow charging.
LG Nexus 5X Unlocked Smartphone - Mint 16GB (U.S. Warranty),LG,4,Functions pretty well at all things I use it for. The one downside is that there's no way to quickly reboot the phone if it crashes. All you can do is wait for it to finish crashing and reboot itself.,Neutral,Performance,Medium,Customer mentioned a minor issue with rebooting the phone after a crash.
X-shop 5.5-inch Unlocked White Lenovo A850 3g Smartphone-(960x540) Quad Core 4gb Mt6582m 1331mhz Android 4.2 Dual Camera +Dual SIM (Rooted + Google Play),Unknown,3,"This is a very basic no frills phone. Does the bare minimum for the most part. Still having trouble with downloading MMS messages on straight talk. However the internet is working, so if you have any idea how to fix my MMS issue it might just change my review",Negative,Performance,High,Customer is experiencing trouble with downloading MMS messages.
Samsung Galaxy J7 J700M 16GB Dual Sim LTE Unlocked Phone - Retail Packaging - White (International Version),Samsung,1,Is not working!!! Is fakeee,Negative,Others,High,Customer reported a faulty product.
BlackBerry Curve 9300 3G Unlocked GSM Smartphone w/ 2MP Camera - Red,BlackBerry,5,ok,Positive,Others,Low,Customer gave a brief positive review.
"Sony Xperia X unlocked smartphone,32GB Lime Gold (US Warranty)",Sony,5,i love everything about this phone... size... speed... design...,Positive,Others,Low,Customer praised overall phone experience.
Apple iPhone 6 Plus a1522 16GB Gold for T-Mobile,Unknown,5,Great.,Positive,Others,Low,Customer gave a general positive review.
GreatCall Jitterbug5 Easy-to-Use Cell Phone and Medical Alert Device for Seniors - Blue,Jitterbug,5,I haven't had it turned on as my old phone still work but runs the battery down since the light on it stays on all the time. She doesn't want to use the new phone for fear she damage it. I will be changing to my new phone when she goes back to Ohio. Her phone and carrier doesn't work in our area.,Negative,Battery,Low,Customer is hesitant to use the new phone due to battery concerns and fear of damaging it.
"ECOOPRO Rugged Unlocked GSM Cell Phone (Gold) - Dual SIM Mobile Device - Shockproof, Waterproof, Dustproof - Rear Camera, Flashlight, USB Charger - 2-Week Battery Life (Gold)",Unknown,4,*Good looking.*Heavy weight.*Nice touches.*Very very very long life battery. About 28 days up to now on standby and few calls and messages and still going.*Doesn't support Arabic.,Positive,Battery,Low,Customer praised battery life and standby time.
"Samsung Galaxy Grand Prime G531H/DS International Version Unlocked Cellphone, Retail Packaging, Gray (International Version)",Samsung,4,"At first I couldn't get my phone set up with Straighttalk which created a huge problem and I was about to send it back, then I figured it out on my own.pros; nice size display screen, takes great pictures and plenty of storage once you add a memory card, easy setup for any carrier, and lots of storage space for apps.cons: freezes up and turns off unexpectedly even though it says it has the latest software update, shabby charger that is pieced togetherIf you can deal with it freezing up sometimes then this is not a bad buy. The cost is quit similar to what you would pay for it in WalMart so be mindful of that.",Neutral,Performance,Medium,"Customer experienced freezing issues and unexpected shutdowns, but still considers it a good buy."
"Apple iPhone 6S Plus Unlocked Smartphone, 32 GB (Gold)",Apple,5,Excellent!! Love it,Positive,Others,Low,Customer praised the product overall.
HTC 1 X Unlocked GSM Android Smartphone with Beats Audio Sound and Front-Facing Speakers - White,HTC,3,"Pretty disappointed. I like eveything about the phone, but this one had the notorious yellow screen defect that I read about. Didn't expect it to be so common. Battery life was so-so as well, and dropped to nearly 30% after about 2 hours of constant chatting and surfing on it.",Negative,Display,High,Customer experienced the yellow screen defect and was disappointed with the phone's display.
Apple iPhone 4S 16GB (Black) - Verizon,Apple,5,Great phone....exactly what I was looking for. Seller was spot on on what phone offered. More of a beginner iPhone but as an experienced user I like the simple ness.,Positive,Others,Low,Customer praised the phone's simplicity and seller's accuracy.
"Samsung Galaxy S5 SM-G900A 16GB 4G LTE GSM Unlocked Android Smartphone, (Gold)",Samsung,1,no it this not work black scree.,Negative,Display,High,Customer experienced a black screen issue.
Samsung Galaxy S3 SGH-i747 4G LTE GSM Unlocked 16GB No Warranty (White),Samsung,2,They didnt say that the battery wasnt good and the phone is overheating.the power button is defective,Negative,Battery,High,Customer reported overheating and power button issues with the battery.
Apple iPhone 5c 16GB (White) - Sprint,Apple,1,bogus asl,Neutral,Others,Low,Unable to classify review due to lack of relevant information.
"Apple iPhone 6S Plus Unlocked Smartphone, 64 GB (Silver)",Apple,5,Came in perfect condition with everything included,Positive,Delivery,Low,Customer praised delivery condition and included accessories.
Apple iPhone 6s 16GB US Warranty Unlocked Cellphone -(Gold),Apple,5,Thanksss 💯,Positive,Others,Low,Customer expressed satisfaction.
Apple iPhone 7 Unlocked Phone 32 GB - US Version (Black),Apple,3,Need to go to the Apple Store. Technical problems like voice volume of the other person is not audible else it's good,Neutral,Performance,Medium,"Customer experienced technical problems with voice volume, but also mentioned it's good."
3 Pack Replacement Belt Clip Holster for Otterbox Iphone 5 Defender Case - Black,OtterBox,5,Work great!,Positive,Others,Low,Customer praised overall product performance.
Apple iPhone 4S 64GB (White) - Factory Unlocked,Apple,5,"Very good, Thanks",Positive,Others,Low,Customer praised overall experience.
LG Neon GT365 Prepaid GoPhone (AT&T),LG,4,Its a good phone really i dont used too much but its work i get what i want and a good price too,Positive,Performance,Low,Customer is satisfied with the phone's performance and price.
LG Nexus 5X Unlocked Smartphone with 5.2-Inch 32GB H790 4G LTE (Carbon Black),LG,5,Bigger and lighter than the phone it replaced. best part NO BLOATWARE!,Positive,Performance,Low,Customer praised performance and lack of bloatware.
Samsung Galaxy S6 Edge Plus G928C 32GB Unlocked GSM 4G LTE Octa-Core Smartphone w/ 16MP Camera - Gold Platinum,Samsung,5,It came in perfect conditions just I expected,Positive,Delivery,Low,Customer was satisfied with the product's condition upon delivery.
BLU Studio C Super Camera -Unlocked Smartphone - US GSM- Green,BLU,4,good midrange smart phone with some features on the top of the line,Positive,Performance,Low,Customer praised the phone's performance as good and midrange with some top-of-the-line features.
Samsung Galaxy S5 G900V 16GB Verizon GSM 4G LTE Smartphone w/ 16MP Camera - Shimmery White,Samsung,5,Great phone. love it.,Positive,Others,Low,Customer expressed overall satisfaction with the phone.
"Samsung Galaxy S5 SM-G900A GSM Unlocked Cellphone, 16GB, Black",Samsung,5,Grieta Cellphone,Positive,Performance,Low,Customer praised Grieta Cellphone's performance.
CNPGD All-in-1 Watch Cell Phone & Smart Watch Sync to Android IOS Smart Phone (Black Plus),CNPGD,1,Too bulky for women,Negative,Others,Low,"Customer found the product bulky, specifically for women."
Verizon (CDMA) - Motorola MOTO W755 CDMA 3G Camera Cell Phone - Purple & Black,Motorola,5,Nice phone thank you,Positive,Others,Low,Customer expressed general satisfaction with the phone.
LG G3 S Beat D722 8GB White (G3 Mini) Factory Unlocked - International model - No warranty,Unknown,2,I meant to purchase the regular G3 phone and not the mini one.I was surprised when I received it.,Negative,Others,Low,Customer received wrong product.
"Blu Studio C Mini Quad Core, 4.7"" IPS, Android 4.4 KK, 4G HSPA+, 5MP Camera - Unlocked Cell Phones -Black",BLU,2,"Phone seems nice but this is really for the seller. Description says pink, choose a white phone from the options.... Got a green one... WTH? Get ur stuff together.",Negative,Seller Experience,High,Customer received incorrect product color due to seller's mistake.
LG Nexus 5X Unlocked Smartphone - White 32GB (U.S. Warranty),LG,4,"My purpose for getting a phone is to talk, text, and email. So when I moved to the 5X on Google/Project Fi, I had hopes that it would outperform my previous phone and network (Moto E on Republic Wireless) for basic function.Pros:-The screen is clear and bright...too bright. I have to lower the settings nearly all the way so I don't blind myself. I see this as a good thing since I know I have an option to go brighter.-I haven't experienced any issues making a call over wi-fi or through the network, and texting and email works fine as well.-The fingerprint scanner works well, but sometimes too well and I accidentally unlock the phone when sliding it in my pocket.-Charging with the USB Type-C connector has been quick and easy. Google provided a standard USB to USB Type-C cable when I signed up for Fi which really helps.Cons:-I rarely have any hangups when accessing an app, but they happen. Luckily if something freezes up I can turn off the screen and wait a few seconds, which usually does the trick. Usually it's the camera, but I don't care much for taking pictures.-The fingerprint scanner can be a pain when grabbing the phone just to pick it up and not unlock it. You don't have to use it so it's not a big issue.-There are times when the lock screen turns on without touching of the phone or power and volume buttons, and it can be annoying.-The USB Type-C connector that was included with the phone could only be used with the AC adapter since both ends are Type-C.I've been using the phone since January and I have no significant complaints for the overall function of the phone.",Positive,Performance,Low,"Customer praised overall function of the phone, mentioning no significant complaints."
CNPGD Watch Cell Phone Mobile Touch Screen Mp3 Mp4 Fm Radio (Black/Silver),CNPGD,3,Evrerything good for me but it cant find my bluetooth jabra ... realy sorry. I hope that im not right but how can i know?,Neutral,Accessories,Low,"Customer had an issue with Bluetooth connectivity, specifically with a Jabra device."
BLU Life 8 XL Smartphone - Unlocked - Global GSM - Orange,BLU,1,"i hate it. Horrible phone, processor, and customer service. It says upgradeable to Lollipop, but when i call customer service 7 times, finally someone from overseas (even though the HQ is in Florida) picked up and started giving me unskilled excuses of why it is NOT upgradeable to lollipop currently because ""lollipop has issues and BLU is waiting for google to fix those issues."" When i repeatedly asked when they expect lollipop to be released for BLU, the customer service guy throws out out an uniformed guess of ""30 days"". That means, i will be stuck with the phone if they don't release it in 30 days because the return policy is only 30 days. Even though the prices is nice, the phone is horrible. I guess you do get what you pay for................sad case.Some issues experiencing: Phone restarts by itself without me pushing buttons; processor extremely slow that it takes about 30 to 50 seconds to capture a picture or send a message - this makes it much worse because user assumes he/she didn't take pic or send text, thus repeats the same action several times and freezes the phone. Screen UNRESPONSIVE to tough. VERY CHEAP plastic casing and parts. Phone is incapable of multitasking with multiple apps open.",Negative,Performance,High,"Customer experienced multiple issues with phone performance, including restarts, slow processor, unresponsive screen, and inability to multitask."
Apple iPhone 4 32GB (Black) - Verizon,Apple,5,my son loves his phone. No issues as of yet,Positive,Others,Low,Customer is satisfied with the product.
Nokia 220 RM-971 Unlocked Cell Phone with 2MP Camera (White),Nokia,1,"It never worked. This did not work since I got out of its box, unfortunately I knew that on coming to Venezuela. I don't return it because transportation is very expensive.if I could return at no cost I would do that, and buy my beloved Nokia C3-01",Negative,Product Quality,High,Customer experienced a faulty product that did not work from the start.
Samsung Galaxy Note 5 SM-N920A 32GB Android Unlocked Smartphone (WHITE),Samsung,5,Very good,Positive,Performance,Low,Customer praised battery life.
"ASUS ZenFone 3 Laser 5.5"" 2GB RAM 32GB storage, Dual SIM - Factory Unlocked Phone - Glacier Silver",Asus,1,Does not work. Receiving or sending calls. Trying to return it,Negative,Performance,High,"Customer is experiencing a critical issue with the phone's performance, unable to receive or send calls."
"BLU WIN HD LTE - 5.0"" Windows Smartphone -GSM Unlocked - Yellow",BLU,1,"***UPDATE***Pass this phone up! I got it november 18th, well on February 5th, it bricked...turned itself off and will not power on again. I tried the hard reset, the soft reset, hooking it to my windows 10 computer...it says there's something wrong with it...well obviously! Same thing happened last week, but I was able to recover, then the battery went from 100% to 27% in the 20 minutes it took to commute to work...not in use and the battery saver was turned on. Battery life was good at first, then turned into a joke. This phone is such a disaster and a waste of money. Get an android, or a Nokia Lumia, the Win HD is crap.",Negative,Battery,High,Customer experienced phone bricking and battery drain issues.
Apple iPhone 5c 32GB - Unlocked - (Yellow),Apple,5,Great product,Positive,Others,Low,Customer praised the product.
"Samsung Galaxy S6 Edge SM-G925 Unlocked Cellphone, International Version, 64GB, White",Unknown,4,I was worried my new phone would be a dud but as of right now I'm happy with my purchase. The company was on point with shipping and delivery so no issues there.The phone came in a seal box with no evidence of tampering. I'm happy with that. I'm Sodom in the process of getting to know the phone but so far no issues with the user interface. The colors are really sharp and the resolution is excellent. Samsung smart switch app allowed me to transfer all my info from my S4 to my S6 edge in and in approximately 10 minutes I was up and running with no issues.In the 2 days that I've had the phone it had sustained one fall from a 2 feet surface (my heart sank) but I'm happy to report that she is still functioning optimally.She feels nice and compact in my hand although the sleek shape makes it feel like she might slip out of my hand. I chalk it up to me getting accustomed to her shape and I'm upgrading from the S4 ActiveMy only concern is the battery doesn't seem to last very long. I us my phone a lot and I've had to chate her up at least twice a day. Thank God she came with a fast charge charge.,Positive,Performance,Low,"Customer praised user interface, colors, and resolution, but mentioned battery life as a concern."
"ZTE Axon Pro Factory Unlocked Phone, 64 GB Phthalo Blue (U.S. Warranty)",ZTE,5,"The reason I bought the Axon is because I like changing between different carriers.The Axon comes unlocked to use on any GSM carrier. The camera on this phone is much better than my brother's I Phone. There are so many options inside the camera menu. I really like that the Axon is made out of aluminum too. It looks and feels good. The Quad HD LCD is very clear, and the battery easily lasts all day.",Positive,Camera,Low,Customer praised camera quality and features.
"HTC 8X Unlocked Smartphone C620E, 16 GB, Blue",HTC,3,many problems with the SMS used Movistar (Venezuela),Negative,Network,High,Customer experienced problems with their network provider.
Samsung Galaxy J1 Mini LTE 8GB (2016) J105M Dual Sim Unlocked Phone - Retail Packaging (Gold) - International Version,Samsung,1,"No flash as described. Returning after that point and didn't make it past the initial charge to see how it functioned. Although, noticed it was in a different language.",Negative,Camera,High,"Product did not match description, had issues with initial charge, and was in a different language."
Samsung Galaxy S5 Mini G800F 16GB 4G LTE Unlocked GSM Android Phone - Gold,Unknown,5,I really like this phone. Phones seem to be getting bigger while this one is the perfect small size. So far it is working great.,Positive,Others,Low,Customer praised the phone's size and functionality.
Sony Xperia M4 Aqua 16GB GSM/LTE Unlocked Cell Phone - Black (U.S. Warranty),Sony,5,It's worth the moneyNice look & speedyI love it,Positive,Others,Low,Customer praised the product overall.
"BLU Dash M - 5.0"" Smartphone - US GSM Unlocked - White",BLU,1,"I loved the idea of being able to purchase an affordable phone from someone other than a cell phone provider in attempt to get around the ATT scam of the ""Next"" plan which is basically a rent to own program resulting in the customer paying $400-$500 dollars for older out of date phones. So I bought 2 of these phones for my parents, the phones look good and are fairly easy to use. Unfortunately they do not work, many times a day fail to receive either phones calls or text messages. The person calling is immediately directed to voicemail and the person using the phone is completely unaware that someone is trying to contact them. What makes it worse is the person using the phone can call or text fine, so they think the phone is functioning normally. The only way to correct the problem is to reboot the phone. When you reboot the phone you see you missed phone calls and text messages. This issue is happens multiple times per day. We have tried every thing we can to correct the problem including software updates and new sim cards. Both phones are having this issue so I feel pretty confident it is a phone issue. Additionally, ATT either will not or can not help you troubleshoot the problems, they treat you like a second class citizen because you dare to buy a phone from someone other than them.",Negative,Performance,High,"Customer experienced frequent call and text message failures, requiring phone reboots to resolve."
"Apple Iphone 4 - 8gb Sprint (CDMA) White, Smartphone, in box with all the accessories, clean esn!!",Unknown,5,I purchased this phone for my 14 year old and he loves it. Great condition!We have no complaint/issues. Thanks,Positive,Others,Low,Customer praised the phone and had no complaints.
Apple iPhone 7 Unlocked Phone 128 GB - US Version (Black),Apple,1,This is fake phone not the original iPhone 7 I don't recommend it for anyone don't waste your money .,Negative,Product Quality,High,Customer claims the product is fake and not the original iPhone 7.
"ASUS ZenFone 2 Unlocked Cellphone, 64GB, Black (U.S. Warranty)",Asus,5,Received package based on projected dates.Happy with the purchase.,Positive,Delivery,Low,Customer is satisfied with the delivery and purchase.
HTC Droid Incredible Verizon CDMA Phone - Black,HTC,5,It was just what I was looking for. Thanks.,Positive,Others,Low,Customer was satisfied with the product.
"Apple iPhone 5c AT&T Cellphone, 16GB, White",Apple,5,Bought this for my daughter as a gift. She loves it. Looks and operates like new!,Positive,Others,Low,Customer praised the product as a gift and mentioned it looks and operates like new.
"OtterBox Protective Defender Case for Apple iPhone 5, iPhone 5s, and iPhone SE - White/Pink (Retail Packaging)",OtterBox,5,"My son loves this case and has dropped his phone many times. This Vargas literally saved the phones life. You don't need extended warranty or insurance plan with this case. Also, fast delivery",Positive,Accessories,Low,Customer praised the protective qualities of the case and fast delivery.
Apple iPhone 5s 32GB (Gold) - Verizon Wireless,Apple,5,"so far so good...the phone is in very good condition, i like it...",Positive,Product Quality,Low,Customer praised the phone's condition and overall satisfaction.
"Samsung Galaxy Note4 Edge SM-N915F Factory Unlocked Cellphone, International Version, 32GB, Black",Samsung,5,Amazing device!!! really worth it!!!!!!!!!,Positive,Others,Low,Customer praised the device overall.
"BLU Studio 5.0 C HD Unlocked Cellphone, Black",BLU,5,Love this phone and bought a second one! It came very quickly too!,Positive,Others,Low,Customer praised the phone and the delivery speed.
BLU Studio C Super Camera -Unlocked Smartphone - US GSM- Orange,BLU,5,Great Phone!!,Positive,Others,Low,Customer expressed general satisfaction.
"Samsung Galaxy S5 SM-G900A GSM Unlocked Cellphone, 16GB, Black",Samsung,5,The S5 was all I expected and more having come from a Motorola Bravo.,Positive,Others,Low,Customer was satisfied with their purchase.
"BLU Life Play Unlocked Dual Sim Phone with Quad-Core 1.2GHz Processor, Android 4.2 JB, 4.7-inch IPS HD Display, 4G HSPA+ up to 42Mbps and 8MP Camera (Blue)",CT-Miami LLC,2,"I WENT TO CHARGE MY PHONE AND IT JUST KEPT DRAINING THE BATTERY, TO MAKE A LONG STORY SHORT ITS BROKEN AT THE CONNECTOR -JUST LIKE ANOTHER BUYER HAS WROTE IN THEIR REVIEW.Well taken care of in the last 2 weeks and now its nonworking.I can get it to charge exactly like the last person who had this wrong by having the device low and plug in and cable higher making it connect. So another review gone sour.Have used many diffrent brands of Android phones in the past and this measures up to the best of the name brands and their so called Flagships.Memory card to expand max of 32gig with a total max of 36 gigabites in the phone.Phone has Jelly Bean which is the newest operating system of android and updates and has no BLOATWEAR. I repeat no programs that are unwanted and slow down the system like all other carrier branded.This phone also offers bluetooth 4 which is the newest!!The phone can be Rooted but do not know if that term of service by doing so. The phone can also play Netflix,huluplus,crackle and other streaming services and can connect easily to windows operating systems for transfer of songs,shows,pictures,documents.Just alittle info that I didnt read on other reviews.",Negative,Battery,High,Customer experienced battery draining and a broken connector.
"BlackBerry 8520OEMRED Gemini 8520 Unlocked Phone with 2 MP Camera, Bluetooth, Wi-Fi--International Version (Red)",BlackBerry,3,the phone is DEFINITELY NOT *new*; newly refurbished maybe. there is a BIG scratch on the lower right hand of the case!! AND it had the logo and name of a major wireless company.,Negative,Product Quality,High,"Customer received a refurbished phone with a scratch and a logo of a major wireless company, indicating it's not new."
"Apple iPhone 6 128GB Factory Unlocked GSM 4G LTE Smartphone, Gold (Certified Refurbished)",Unknown,3,Wondering why the iPhone that I bought without mic cable,Negative,Accessories,Low,Customer is missing a mic cable with their iPhone purchase.
Samsung Galaxy Note 4 N910A 32GB Unlocked GSM 4G LTE Smartphone Black,Samsung,2,"It was advertised as NEW phone, but the one that was delivered was USED. Scratches on the camera lens. Sticky dirt accumulated on the camera flash collar and receiver speaker clearly indicates its USED product. Back cover does not snaps tightly on the body, leaving back cover loose and flimsy on the body.",Negative,Product Quality,High,"Customer received a used product with scratches on the camera lens, sticky dirt on the camera flash collar and receiver speaker, and a loose back cover."
Samsung Galaxy S Duos GT-S7562 GSM Unlocked Touchscreen 5MP Camera Smartphone White,Samsung,5,"I'm very happy I get the phone as expected, met with the delivery time are very responsible seller, my thanks I'm pleased.",Positive,Seller Experience,Low,Customer praised seller's responsibility and delivery time.
BLU Studio 7.0 II -Unlocked Smartphone - US GSM - Grey,BLU,5,This unit arrived as promised Amazon has great track record. It has lived up to all as promised. One note make sure your service provider can service the tablets. Our original choice for carriers did not offer a plan but we're able to got one with great service plan and area coverage.,Positive,Others,Low,Customer praised overall experience and service provider compatibility.
BLU Dash L Unlocked Smartphone - US GSM - Black,BLU,4,Good,Positive,Others,Low,Customer praised the product.
"Samsung Galaxy S7 G930F Factory Unlocked Phone, 32 GB - Internationally Sourced (EU/LATAM) Version - White",Samsung,5,'Twas a very good phone. I bought as a gift for my Girlfriend.,Positive,Others,Low,Customer praised the phone as a good gift.
"Samsung Galaxy J7 J700M, 16GB, Dual SIM LTE, Factory Unlocked - Black (International Version)",Samsung,4,This is a great all-round phone. I liked buying it online at Amazon because I could take my time and do some real comparison shopping before I made my choice.,Positive,Others,Low,Customer praised overall experience and shopping process.
"Samsung Galaxy Note 3 N9005 Unlocked Cellphone, International Version, 32GB, Black",Samsung,5,Its amazing just wish i had that 4g lte but besides that its a great phone good job you guys,Positive,Performance,Low,"Customer praised phone performance and battery life, but mentioned a missing feature."
"Samsung Galaxy J7 J700M, 16GB, Dual SIM LTE, Factory Unlocked - Gold (International Version)",Samsung,4,Very good phone,Positive,Others,Low,Customer praised the phone overall.
"POSH MOBILE LYNX GSM UNLOCKED DUAL SIM 1.8"" GSM FEATURE PHONE with simple BAR style design, FM Radio, flashlight, Bluetooth and 1.3MP Camera. 1 Year warranty. (Model#: A100 BLACK WHITE)",Posh Mobile,5,Recommended seller.Immediate despatch.As it described in the publication.Unlocked.,Positive,Seller Experience,Low,Customer praised seller's service and immediate despatch.
Samsung Galaxy S6 Edge G925i 32GB Unlocked GSM LTE Octa-Core Phone w/ 16MP Camera - Gold Platinum (International Version),Samsung,5,Great phone! Delivered as promised!,Positive,Delivery,Low,Customer praised delivery experience.
"Samsung Galaxy J5 SM-J500H/DS GSM Factory Unlocked Smartphone, International Version (Gold)",Samsung,5,i bought 2 of them for different persons and they love them. no complaints,Positive,Others,Low,Customer is satisfied with the product and has no complaints.
"Apple iPhone 5s AT&T Cellphone, 16GB, Silver",Apple,5,my wife like it,Positive,Others,Low,Customer expressed general satisfaction.
"BlackBerry Bold 9780 Unlocked Cell Phone with Full QWERTY Keyboard, 5 MP Camera, Wi-Fi, 3G, Music/Video Playback, Bluetooth v2.1, and GPS (Black)",BlackBerry,2,"misleading advertising brings say the phone camera 5 mp and it is not so, nor bring any camera this model so I do not recommend it for anything this product or your dealer",Negative,Camera,High,Customer is unhappy with the camera quality and feels misled by advertising.
"Samsung Galaxy S5 G900F Unlocked Cellphone, Retail Packaging, 16GB, Blue",Samsung,5,"This phone is great, I bought an iPhone 6 as well and now I'm hooked on the Samsung S5 not knowing if I wanna use the iPhone again!!!!!",Positive,Others,Low,Customer is extremely satisfied with the product and is now considering it over another brand.
Apple iPhone 5c 32GB (Blue) - AT&T,Apple,4,"I was cautious about ordering a phone from a second party like this, but I was very pleasantly surprised at the service and the quality of the phone. The phone is very nice. There are no scratches anywhere. It works perfectly. I was also contacted by the company about a week after I received the phone just to be sure that it was received fine. They were very professional. I have recommended them to my friends.",Positive,Seller Experience,Low,Customer praised seller's service and quality of the phone.
"Lenovo A916 8GB Black, Dual Sim, 5.5 inch, Unlocked International Model, No Warranty",Lenovo,4,Media audio is too low. Had some issues with YouTube but installing an older version fixed the problem.,Negative,Performance,Medium,Customer experienced issues with media audio and YouTube.
